fixationEventType,fixationX,fixationY,fixationTimestamp
Begin,156.995939563277,-40.1933228823438,63461447.1306275
Data,154.977419436056,-40.3235585720534,63461462.7467434
Data,149.70405405515,-41.5203497731067,63461477.3792316
Data,146.225753351056,-40.6301037350456,63461490.0436433
Data,142.133563160871,-41.6695890070631,63461507.2994124
Data,140.038697893246,-48.7362275546097,63461522.6425265
Data,145.378517264925,-52.332216911454,63461535.0331153
Data,159.197183499217,-49.6814614376056,63461552.3960325
Data,174.347000918574,-46.5886370854353,63461568.7244163
Data,176.718923547458,-47.253656372747,63461598.0054034
Data,174.929822873697,-46.7593348415249,63461613.2959697
Data,177.088103299228,-45.9232990334058,63461625.8146437
Data,185.73720762702,-44.4427426111393,63461642.8692535
Data,217.748552375929,-36.8015463347994,63461658.4024425
End,269.13779188413,-27.2460295123935,63461658.4258426
Begin,914.146341530158,239.101861619906,63461688.1916645
End,914.146341530158,239.101861619906,63461688.2150647
End,1086.7073672678,368.395187801282,63461703.2309871
Data,1179.53819196154,414.030512547335,63461749.5879314
Data,1182.02338046003,386.876628102209,63461760.3101301
Data,1174.94355277172,376.695033221933,63461778.0999975
End,NaN,NaN,63461793.3347319
Begin,1168.48397722804,405.011656867793,63461805.0812006
End,1162.53221812528,394.293766740233,63461822.9856056
Data,1216.84596568748,629.990836690173,63461850.5805497
End,1225.08027803068,636.754219019753,63461850.6031288
Data,1203.91205167352,493.277300050944,63461896.41448
Data,1202.77988741208,498.457282295109,63461913.0667713
Data,1192.73006475914,497.101900843214,63461928.2481369
Data,1182.44298377925,484.685040544614,63461940.5615463
Begin,1177.16973111733,484.532431016774,63461940.5861781
Data,1186.64586560829,474.629724604848,63461973.0590287
Begin,1516.10498611236,461.286267347633,63462002.9529357
End,1516.10498611236,461.286267347633,63462002.9759253
Data,1271.39645097538,635.388088873873,63462048.941225
Begin,1145.81818846429,595.596927091967,63462063.077794
Data,1145.45960657403,592.640560892459,63462075.5911311
End,1144.74244279353,586.727828493445,63462075.6137102
Begin,1256.60779785117,567.181861813664,63462108.4597318
Data,1257.50362893471,567.402625043952,63462120.2271375
Data,1245.99406635442,556.236479727456,63462139.8914807
Data,1227.09332747255,515.626755667161,63462153.2414761
Begin,1203.19724773731,526.323314723518,63462210.8153067
Data,1194.73786474119,532.983795977171,63462243.9113405
Data,1187.72507022834,541.455227661128,63462255.4102602
Begin,1219.25375582135,558.295593388053,63462255.4353025
Data,1226.74644625015,562.336508354658,63462288.3880617
Data,1230.8167083803,564.322258938638,63462301.8895422
Data,1220.66364659575,563.691875154989,63462318.358327
Data,1202.88453503999,561.100050265398,63462346.664718
Data,1206.17201365285,555.529578053467,63462363.3613465
Data,1215.6633608103,552.786523596225,63462378.3702898
Data,1217.99591588268,555.522080283946,63462390.6056987
Data,1213.87514888205,561.386880772082,63462408.6743154
Begin,1200.55739320966,567.953046930284,63462408.6981261
Data,1190.10826389754,588.662201641551,63462435.4395802
