fixationEventType,fixationX,fixationY,fixationTimestamp
Begin,251.934726865287,134.445905285088,290314.024781999
Data,249.728334738489,149.057105286765,290359.399330263
Data,247.478730467935,164.506231398276,290376.438750497
Data,245.978994287566,174.805648805949,290390.119221752
Data,241.061057953078,182.695459554215,290403.139151707
Data,231.39100767575,187.987251200153,290419.414987842
Data,224.354047995307,191.305996954783,290435.570949484
Data,235.761185029481,179.907172406595,290467.453048815
Data,262.408846408835,161.757964146276,290479.572277956
Data,255.451373326007,158.778505222069,290493.513845709
Data,249.27706440171,154.173150380509,290509.547880213
Data,246.478801795335,150.237265406358,290525.618041275
Data,243.435660102761,144.93477651736,290539.559198499
Data,240.282089112989,146.425629632671,290555.22622
Data,232.466109646431,136.609391219199,290570.26923729
Data,232.947105591579,143.932955942474,290584.529375614
Data,234.36739615472,145.093497130722,290615.443036831
Data,231.075900841456,147.715378806552,290627.630003272
Data,214.70204996376,160.374597983918,290644.143535747
Data,217.897421438173,159.749220341097,290659.97148465
Data,222.505050725782,162.022927260915,290672.566517001
Data,218.835465785774,170.032987114083,290689.066091488
Data,213.200374245133,164.318348309069,290704.412079244
Data,212.291441171329,169.722403257843,290717.13971249
Data,213.886477363386,178.308598484756,290734.305575683
Data,214.291013812359,181.164434454989,290762.96953751
Data,220.593967601112,174.164435333982,290779.375921894
Data,219.919203384564,167.722320573779,290794.337243897
Data,214.794637948803,177.405140090143,290807.82066119
Data,232.474011590511,171.070622992409,290824.132623884
Data,245.024218627869,156.727476491499,290839.691265706
Data,256.695778826656,131.095656720561,290853.411558282
Data,250.604341702628,137.983332296467,290884.570715893
Data,247.397574823499,144.087008068791,290915.128037864
Data,245.492046695591,147.987609175883,290929.057289744
Data,244.245915971069,145.527458186837,290941.609216542
Data,244.387076125021,145.178078428127,290959.413041934
Data,244.809225878719,146.367737006466,290977.945556454
Data,256.215831358638,148.403288870585,290989.216632504
Data,261.27927519924,145.236944680728,291004.874211835
Data,267.272422281624,142.120742379529,291019.819523203
Data,283.638108225722,156.696493442351,291032.318902278
Data,299.224076209929,136.519204487098,291065.150144855
Data,309.062126832601,153.034798467342,291077.002530091
Data,311.337389696192,147.886430008385,291094.108045508
Data,310.620222491533,148.5321949771,291109.447054269
Data,310.682351668993,159.490935780921,291122.052349848
End,310.806610023914,181.408417388563,291122.052349848
Begin,1298.56495665935,745.423601800248,291244.559976452
Data,1290.57261467185,755.213003628097,291289.88320858
Data,1284.4865581395,759.899911955423,291302.10671211
Data,1305.9697307087,755.521343110412,291319.710199308
Data,1293.88119414392,755.166375105228,291334.651815914
Data,1322.39360978059,789.72164171499,291365.333938727
End,1379.41844105394,858.832174934516,291365.333938727
Begin,1261.28906835572,825.874778835038,291379.160558336
Data,1237.1109728666,823.048449638158,291426.558193935
End,1188.75478188837,817.395791244398,291426.558193935
Begin,1275.90710575124,860.251475035134,291481.832240573
Data,1276.07302738408,854.325254762627,291544.07173421
Data,1272.96065222368,856.287949907563,291561.125112434
Data,1266.75777093085,858.649028888578,291572.395367426
Data,1295.65714264241,877.131812625715,291590.87615528
End,1353.45588606554,914.09738009999,291590.87615528
Begin,1259.23053952388,824.098022193932,291604.256529773
Data,1252.46439414598,819.943201962098,291663.452360768
Data,1259.41411226412,820.452983101173,291679.37021554
Data,1268.98957418597,816.378472675584,291694.473580606
Data,1270.63764536547,812.022035399252,291707.011138886
Data,1252.01751827745,806.175093947401,291725.199219502
Data,1205.5884190234,803.85768457426,291740.875683172
End,1112.7302205153,799.222865827978,291740.875683172
Begin,1240.39264275151,825.8598694664,291786.475201375
Data,1235.47761438604,822.263496117224,291841.880617321
Data,1229.93935848128,818.537942338634,291859.736579907
Data,1224.31163387901,819.124129312428,291874.428594829
Data,1219.19411698455,821.163945617483,291887.426766743
Data,1220.04428634894,819.03522969037,291904.476860733
Data,1221.7505679541,817.449972707207,291920.90007681
Data,1227.41116883662,814.141054543475,291932.952800239
Data,1230.83695248087,807.077311136487,291965.302902728
Data,1230.60932040913,805.062970384631,291976.93237067
Data,1262.98445712129,798.419639227073,291996.199732253
Data,1249.87797919506,791.45078354882,292011.000947912
Data,1243.27383944054,787.92215770037,292022.231792111
Data,1254.94455278127,785.984385897519,292040.673169174
Data,1263.71832722399,797.900806752864,292054.762116869
Data,1269.2682836672,798.595057346899,292066.969199234
Data,1300.5620226536,806.7316420074,292084.394516809
Data,1319.86527100752,812.942826285465,292114.769153337
Data,1316.1644637487,816.794531663027,292128.905722406
Data,1313.64064872197,819.47996460768,292144.00990853
