fixationEventType,fixationX,fixationY,fixationTimestamp
Begin,158.253375861231,146.070387658403,54399272.8317335
Data,162.535588824021,150.730070063182,54399299.9910505
Data,163.525684910951,152.310377279316,54399300.0156822
Data,163.885612700626,146.903651329455,54399316.5349282
Begin,160.185776882359,131.901195310404,54399316.5554546
Data,158.68326831551,130.134969354976,54399345.1105676
Begin,154.144332107106,125.418211703799,54399345.1368414
Data,155.523134033558,127.678855508922,54399380.8293984
Data,161.57435534494,133.164476418984,54399413.3268141
Data,166.086763137432,144.567007266893,54399427.8541771
Data,165.470549125582,149.95255044265,54399440.2426879
Data,158.226653247418,143.311368028416,54399458.3063411
Data,152.888698172989,132.895738736761,54399472.9970943
Data,152.151470562939,128.77090822122,54399473.0340418
Data,151.951870270361,127.944270479178,54399485.0005296
Begin,151.503508435299,132.135570838011,54399485.0424035
Data,152.804485236764,137.80121510592,54399516.7286154
Data,149.180078590343,141.861177925359,54399532.3537308
Begin,151.801639777543,134.90777097706,54399563.7431308
Data,158.458620023374,133.344798137764,54399591.3158498
Begin,170.315057234621,133.784067099354,54399591.3564921
Data,170.439026562822,142.507794886963,54399620.9834943
Data,170.521672781623,148.323613412036,54399621.0245471
Data,165.909093850131,149.487504663441,54399636.387335
Begin,160.550661831264,146.949596880353,54399636.4251036
Data,160.359757332773,140.929264472014,54399666.1937381
Data,158.125122833219,133.640577899795,54399684.0586957
Data,154.876545363952,125.972345526233,54399712.1380065
Data,151.253139047653,118.572227027519,54399729.0616227
Begin,152.500420240594,119.560952298064,54399729.1026756
Data,151.255782246972,119.395378227127,54399755.440115
Data,150.794468124898,121.740944265252,54399770.9478194
Data,150.124319964793,125.033021262615,54399786.6000297
Begin,152.020350552697,138.021619251425,54399786.6394404
Data,152.034794518861,137.198118004022,54399816.3637379
Data,154.809505700384,135.703447302351,54399833.5870398
Data,156.318498096632,133.826594419802,54399864.0075931
Data,151.480829917622,126.955070328124,54399877.7528998
Data,149.031391514306,115.79360623606,54399890.5970969
Data,152.125429687358,109.393406291302,54399906.4081817
Data,158.186467799005,108.068915125014,54399922.8576378
Data,159.675104953387,120.058558162957,54399935.8951938
Data,180.11037980009,139.822401140243,54399950.9615803
Data,194.339549906165,147.601851112236,54399951.0018121
Data,234.33342907563,168.162889441677,54399965.9483243
End,314.321187414562,209.284966100559,54399965.9889666
Begin,1289.24767562864,734.559458661093,54400014.0622344
Data,1285.91789040867,726.889360314776,54400041.6480903
Data,1278.4542537436,717.673562601857,54400058.4062637
Data,1272.60770605661,707.923675925591,54400070.9593963
Data,1269.09131313731,703.224819004535,54400087.466737
Data,1267.39437213032,700.080692138706,54400103.0384837
Begin,1268.25155825992,688.170918658809,54400103.0762523
Data,1270.66547619646,687.726550202208,54400131.2446477
Begin,1288.54760213588,789.162107794912,54400180.0260767
Data,1289.26664752643,792.639565933724,54400205.4336697
Begin,1284.26989633325,806.45810921114,54400205.4685646
Data,1284.32424759881,803.727492200029,54400238.5534463
Begin,1312.68571051425,818.443740321504,54400284.5046936
Data,1309.69442085547,812.635101553547,54400330.2588873
Data,1306.83062711772,804.411665430481,54400340.1756076
Data,1301.40275530014,797.198444304879,54400358.0450809
Data,1286.60875419527,790.914376849143,54400373.258026
Data,1273.86289626525,787.69206193132,54400387.2324074
Begin,1305.49448896216,797.887096019345,54400401.9613397
Data,1304.75067275151,796.050536878305,54400431.6454054
Data,1299.33367518826,792.275633543366,54400464.9347301
Data,1294.69815740525,790.626103555457,54400475.537443
Data,1293.44144750257,786.843171098884,54400492.0332889
Data,1299.61439918822,781.030075656239,54400508.2315018
Begin,1308.06915713701,777.864570132195,54400508.2746073
Data,1299.76653171976,785.294322467999,54400540.1102515
Data,1284.50542854405,789.347093355156,54400553.6207359
Data,1278.39145856878,796.551732019772,54400565.59215
Data,1283.27850915102,789.980890018649,54400582.0395536
Data,1286.73600091973,779.202114298119,54400611.5183551
Data,1282.79584582353,781.178794776868,54400628.5577404
Begin,1284.12262336152,788.478955099463,54400628.595509
Data,1284.99664785644,787.094548481156,54400656.6193984
Data,1286.13603953339,784.915068484928,54400673.9576483
Data,1282.51593758618,784.924014051845,54400687.4956381
Data,1275.83958036237,790.23455806518,54400700.1132237
Data,1269.9902442815,795.224288994834,54400716.5257323
Data,1262.61120117253,774.749434536872,54400734.3073526
