leftIsValid,leftX,leftY,leftZ,leftNormalisedIsValid,leftNormalisedX,leftNormalisedY,leftNormalisedZ,rightIsValid,rightX,rightY,rightZ,rightNormalisedIsValid,rightNormalisedX,rightNormalisedY,rightNormalisedZ,eyePositionTimestamp
True,-30.9571895599366,204.751002716021,564.047044225083,True,0.571003139019012,0.289238780736923,0.409512341022491,True,33.4474678039551,199.874144063653,553.332860851442,True,0.421811938285828,0.287337899208069,0.370392262935638,43829069.715
True,-31.1786861419678,204.802660569009,564.072085077448,True,0.571506381034851,0.289161026477814,0.409649670124054,False,0,0,0,False,0,0,0,43829084.696
True,-31.3148517608643,204.936934937305,564.112197795734,True,0.571809053421021,0.288931459188461,0.409928381443024,True,33.1203575134277,200.199131294712,553.458600800945,True,0.422605663537979,0.286804556846619,0.371156603097916,43829098.864
True,-31.4776191711426,204.976510247507,564.067525809223,True,0.572185635566711,0.288801491260529,0.409833580255508,True,32.9689750671386,200.296389595814,553.482113371064,True,0.422966361045837,0.2866290807724,0.37134113907814,43829114.729
True,-31.7920665740967,205.141681483871,564.135689102456,True,0.572892606258392,0.288539946079254,0.410235404968262,True,32.7134742736816,200.632902466512,553.73642074334,True,0.423607617616653,0.286217272281647,0.372521370649338,43829145.031
True,-31.8787994384766,205.207025300296,564.130742052704,True,0.573089361190796,0.288401305675507,0.410294383764267,True,32.6479454040527,200.753719637274,553.866129223598,True,0.423780977725983,0.286112785339355,0.373065382242203,43829159.873
True,-32.0143051147461,205.220498730763,564.051987409283,True,0.573408246040344,0.288286924362183,0.410063058137894,False,0,0,0,False,0,0,0,43829174.871
True,-32.0551681518555,205.351304401667,564.183776171387,True,0.573482036590576,0.288165748119354,0.410625010728836,True,32.5366897583008,201.112272335748,554.216793030985,True,0.424096792936325,0.285764515399933,0.374572545289993,43829188.872
True,-32.0775947570801,205.52714497931,564.35022604164,True,0.573507905006409,0.287991166114807,0.411346852779388,True,32.5540924072265,201.344044039162,554.545076716109,True,0.424104243516922,0.285654067993164,0.375865072011948,43829204.853
True,-32.1606216430664,205.635066728659,564.436563401552,True,0.573684215545654,0.287866592407227,0.411740303039551,False,0,0,0,False,0,0,0,43829219.865
True,-32.1523780822754,205.786518666938,564.594093092273,True,0.573641717433929,0.287732005119324,0.412406414747238,True,32.5485153198242,201.798500617666,555.107393131947,True,0.424201846122742,0.285346388816834,0.378144532442093,43829233.922
True,-32.1345939636231,205.896131104584,564.673319866307,True,0.573587775230408,0.28759628534317,0.412779539823532,True,32.6088829040527,201.952173738255,555.363621235566,True,0.424097537994385,0.285316854715347,0.379122316837311,43829249.85
False,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,43829264.791
True,-30.3034248352051,206.425420458498,565.941580452084,True,0.569242060184479,0.28791731595993,0.417355537414551,True,34.3429946899414,202.61879788923,557.386459645847,True,0.420337438583374,0.286210715770721,0.386218458414078,43829296.003
True,-30.0876579284668,206.593850121772,566.051621121051,True,0.568731367588043,0.287696361541748,0.417892247438431,True,34.5420989990234,202.975432585193,557.762503406573,True,0.419937402009964,0.285896956920624,0.387802928686142,43829309.935
True,-30.0855712890625,206.733008034035,566.105285107257,True,0.568715810775757,0.287472873926163,0.418219000101089,True,34.5910911560058,203.220125674408,558.043150650253,True,0.419869005680084,0.285707235336304,0.388960987329483,43829323.838
True,-30.0454158782959,206.603257231499,565.525461451835,True,0.568688809871674,0.287097841501236,0.416254878044128,True,34.579174041748,202.957852805167,557.282409521137,True,0.419791966676712,0.285395443439484,0.386279106140137,43829339.683
True,-30.2618274688721,209.898551898292,571.22880840011,True,0.568472802639008,0.286692321300507,0.437876373529434,True,35.0863380432129,206.043628436565,562.494137582171,True,0.419394671916962,0.284883350133896,0.406121820211411,43829354.711
True,-30.4058609008789,213.33390351176,577.236207823382,True,0.56806343793869,0.286344945430756,0.460609942674637,True,35.6566085815429,209.360340049278,568.285883691678,True,0.418941855430603,0.284552693367004,0.428044646978378,43829368.791
